Original,Region
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
French Frigate,Northwest Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Hilo,Main Hawaiian Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Jarvis,Line Islands
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Johnston,Johnston
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kauai,Main Hawaiian Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kingman,Line Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kona,Main Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kure,Northwest Hawaiian Islands
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Kwajalein,Micronesia
Laysan,Northwest Hawaiian Islands
Laysan,Northwest Hawaiian Islands
Laysan,Northwest Hawaiian Islands
Laysan,Northwest Hawaiian Islands
Laysan,Northwest Hawaiian Islands
Laysan,Northwest Hawaiian Islands
