,locality,decimalLatitude,decimalLongitude
205,French Frigate,23.869152,-166.28343
233,Hilo,19.80045,-155.023881
242,Jarvis,-0.383449,-159.996435
265,Johnston,16.735855,-169.529996
291,Kauai,22.080381,-159.520283
321,Kingman,6.395978,-162.357437
348,Kona,19.629411,-156.015071
369,Kure,28.394265,-178.296154
392,Kwajalein,9.175126,167.443657
401,Laysan,25.768184,-171.733024
413,Majuro,7.120474,171.191797
427,Midway,28.209446,-177.376171
462,Niihau,21.895505,-160.152111
467,Oahu,21.471614,-157.996814
491,Ogasawara,27.092032,142.182116
511,Ishigaki,24.453399,124.288782
535,Palmyra,5.87951,-162.077554
551,Pearl & Hermes,27.812955,-175.816277
1,Mayu Island Maluku Sea,1.348850049,126.3899333
14,Halmahera,0.753450028,127.40935
30,Pulau Weh Aceh,5.616416667,95.69966669
50,Halmahera,2.103916675,127.7863833
51,Halmahera,1.683333291,127.5309167
71,Alam Kotok Pulau Seribu,-5.69965,106.5381167
92,Bunaken-Liang Beach,1.618368,124.764731
110,Kukusan Waiciciu Flores,-8.591166667,119.79605
130,Karimunjawa-Pulau Tengah,-5.889766667,110.4036833
148,Halmahera,0.346813,127.634925
152,Karang Congkak,-5.708783333,106.5722667
172,Gili Trawagan Lombok,-8.3053,115.9697583
177,Lahewa Nias,1.414603389,97.15330354
184,Kodingarengkeke Makassar,-5.106111,119.286111
194,Eastern Australia,-20.245898,149.013367
