,locality,country,decimalLatitude,decimalLongitude,eventID
1,"Mayu Island, Maluku Sea",Indonesia,1.348850049,126.3899333,6191c209a5406a5665759079336afbdc
2,"Tidore, Halmahera",Indonesia,0.753450028,127.40935,aca255e1179c7690089c1aa6a83bc2f5
3,"Pulau Weh, Aceh",Indonesia,5.616416667,95.69966669,4862585024794c3d079ede6a9c17e633
4,"Kararorika Island, Halmahera",Indonesia,2.103916675,127.7863833,64337ce545fb0f3a0ee50a1c27dc6c00
5,"Pulau Kahatola, Halmahera",Indonesia,1.683333291,127.5309167,616e93016b247dffe26a9af605abaea6
6,"Alam Kotok, Pulau Seribu",Indonesia,-5.69965,106.5381167,d7de9b85c434782b762cdc8aa8d4f119
7,Rakata (Krakatau Besar),Indonesia,-6.147183,105.463267,dc74977627f6489ed28ed9484ef76e64
8,Bunaken-Liang Beach,Indonesia,1.618368,124.764731,432aa0e6a7b3586c8f0c24b761198dfd
9,Bunaken-Liang Beach,Indonesia,1.618368,124.764731,5c5686ab6270150d965f3852b3198ca3
10,"Kukusan Waiciciu, Flores",Indonesia,-8.591166667,119.79605,3bc9e17de2816b2e7f23119cdb00a2ca
11,Karimunjawa-Pulau Tengah,Indonesia,-5.889766667,110.4036833,725181f67d693ae45462498c15469bca
12,"Yop, T. Cenderwasih",Indonesia,-2.507116701,134.3778333,1adf41f2fcea1e0581923c65f4d82b9a
13,"Widi island, Halmahera",Indonesia,0.346813,127.634925,3b7043450562630fff8dfd16e4a1ed7d
14,Karang Congkak,Indonesia,-5.708783333,106.5722667,9465d79270d8b43808bd455b738bfff4
15,Nusa Penida,Indonesia,-8.671726,115.500907,eb98d9c6e84c4e96423f0bb67f87bcd1
16,"Gili Trawagan, Lombok",Indonesia,-8.3053,115.9697583,22b331fc5b694b310b07b8015de658e2
17,"Lahewa, Nias",Indonesia,1.414603389,97.15330354,06df3616cd01abae2ac0bb38f8467f23
18,"Kodingarengkeke, Makassar",Indonesia,-5.106111,119.286111,1e8b63cb116a6d88d3aa10a1c0fbde07
19,"Tile-tile, Selayar",Indonesia,-6.272646,120.457844,f51495c745ea4c52f8276d0d9228f58f
20,Eastern Australia,Australia,-20.245898,149.013367,f2a05c9a5acb53c40d1800f08302c58a
21,French Frigate,North Western Hawaiian Islands,23.869152,-166.28343,fc676d4e750e88e9997933338f5a8d24
22,Gardner,North Pacific,24.99889,-167.99944,4802db80acad0c4614c7b45daba973d6
23,Hilo,Main Hawaiian Islands,19.80045,-155.023881,82ea86783cd218722dada8912d557c3b
24,Jarvis,South Pacific,-0.383449,-159.996435,f522d9abd32cf8236073bd68d0c7e7e9
25,Johnston,North Pacific,16.735855,-169.529996,f3a72fde7989f4d7c50fc1d61267a3be
26,Kauai,Main Hawaiian Islands,22.080381,-159.520283,d2f9075e11e028dc830301fe64ba0e4e
27,Kingman,Micronesia,6.395978,-162.357437,0293395647889aeb15f2af22995df197
28,Kona,Main Hawaiian Islands,19.629411,-156.015071,4e4ef5f0f6c1b5ff76639fe645e277be
29,Kure,Australia,28.394265,-178.296154,f76cafbca852d9ffab07fc73ff089df7
30,Kwajalein,Micronesia,9.175126,167.443657,e3ac3844fcb2748244ed8215e592a70c
31,Laysan,North Western Hawaiian Islands,25.768184,-171.733024,db03ac23145424a31bc94df2f00637e4
32,Majuro,Micronesia,7.120474,171.191797,9d66aa210b2ce0226cd00538c1cc91d7
33,Solomon Islands,South Pacific,-8.553384,158.967664,ad9da1b387dd94409731fbf47b0ff59e
34,Midway,North Western Hawaiian Islands,28.209446,-177.376171,12e0232dc1af0416a2fb0df161703928
35,New Caledonia,South Pacific,-21.174877,165.664934,138a4097f56a21ceab8eee4817632d56
36,Niihau,Main Hawaiian Islands,21.895505,-160.152111,f1e02e106c5bbf111ae0c0a0dd9c5f22
37,Oahu,Main Hawaiian Islands,21.471614,-157.996814,14923d98044a5fc7a5d7eecace0e1872
38,Ogasawara,Japan,27.092032,142.182116,5993c838512476099b3a1800be7d2f3f
39,Ishigaki,Japan,24.453399,124.288782,1dfabb50171e397a9f92f7e470e428b8
40,Papua New Guinea,South Pacific,-6.395622,145.84373,3299ae6d560861cfa3409b7649dea4b3
41,Palmyra,Syria,5.87951,-162.077554,329f88f2fc4f6c53661168c0596c173f
42,Pearl & Hermes,North Western Hawaiian Islands,27.812955,-175.816277,aa3212b07f54592ba655ab4be9f1becb
