,Pacific Ocean
C,1
CI,1
CII,1
CIII,1
CIV,1
CIX,1
CV,1
CVI,1
CVII,1
CVIII,1
CX,1
CXI,1
CXII,1
CXIII,1
CXIV,1
CXIX,1
CXV,1
CXVI,1
CXVII,1
CXVIII,1
CXX,1
CXXI,1
CXXII,1
CXXIII,1
CXXIV,1
CXXV,1
CXXVI,1
I,1
II,1
III,1
IV,12
IX,3
L,1
LI,1
LII,1
LIII,1
LIV,1
LIX,1
LV,1
LVI,1
LVII,1
LVIII,1
LX,1
LXI,1
LXII,1
LXIII,1
LXIV,1
LXIX,1
LXV,1
LXVI,1
LXVII,1
LXVIII,1
LXX,1
LXXI,1
LXXII,1
LXXIII,1
LXXIV,1
LXXIX,1
LXXV,1
LXXVI,1
LXXVII,1
LXXVIII,1
LXXX,1
LXXXI,1
LXXXII,1
LXXXIII,1
LXXXIV,1
LXXXIX,1
LXXXV,1
LXXXVI,1
LXXXVII,1
LXXXVIII,1
V,1
VI,1
VII,6
VIII,1
X,1
XC,1
XCI,1
XCII,1
XCIII,1
XCIV,1
XCIX,1
XCV,1
XCVI,1
XCVII,1
XCVIII,1
XI,4
XII,1
XIII,1
XIV,1
XIX,1
XL,1
XLI,1
XLII,1
XLIII,2
XLIV,1
XLIX,1
XLV,1
XLVI,1
XLVII,1
XLVIII,1
XV,1
XVI,1
XVII,1
XVIII,2
XX,8
XXI,1
XXII,1
XXIII,1
XXIV,1
XXIX,1
XXV,1
XXVI,2
XXVII,2
XXVIII,1
XXX,1
XXXI,1
XXXII,2
XXXIII,1
XXXIV,3
XXXIX,1
XXXV,1
XXXVI,2
XXXVII,2
XXXVIII,1
